Rank,Shirt Number,Name,Team,Spikes,Faults,Shots,Total Attempts,Success %
1,12,Bruno Lima,ARG,177,50,98,325,54.46
2,10,Amir Ghafour,IRI,214,59,120,393,54.45
3,18,Ricardo Lucarelli Souza,BRA,173,54,91,318,54.4
4,10,Sharone Vernon-Evans,CAN,130,32,82,244,53.28
5,14,Yuki Ishikawa,JPN,170,40,112,322,52.8
6,15,Victor Poletaev,RUS,158,51,94,303,52.15
7,20,Gabriele Nelli,ITA,135,36,88,259,52.12
8,19,Tsvetan Sokolov,BUL,141,53,77,271,52.03
9,9,Yoandy Leal Hidalgo,BRA,161,58,99,318,50.63
10,11,Yuji Nishida,JPN,183,69,114,366,50
11,7,Stephen Timothy Maar,CAN,136,47,94,277,49.1
12,4,Jean Patry,FRA,148,66,91,305,48.52
13,7,Facundo Conte,ARG,138,49,101,288,47.92
14,13,Simon Hirsch,GER,170,55,131,356,47.75
15,18,Lincoln Alexander Williams,AUS,156,68,103,327,47.71
16,1,Christian Fromm,GER,133,40,108,281,47.33
17,8,Wallace De Souza,BRA,152,71,110,333,45.65
18,2,Milad Ebadipour Ghara H.,IRI,141,39,129,309,45.63
19,7,Marco Evan Baptista Ferreira,POR,145,67,106,318,45.6
20,2,Chuan Jiang,CHN,152,56,127,335,45.37
21,1,Qingyao Dai,CHN,88,24,82,194,45.36
22,6,Rozalin Penchev,BUL,107,46,84,237,45.15
23,6,Alexandre Ferreira,POR,139,58,111,308,45.13
24,15,Luke Smith,AUS,109,29,104,242,45.04
25,16,Oleg Antonov,ITA,113,55,86,254,44.49
26,7,Purya Fayazi D.,IRI,119,38,117,274,43.43
27,18,Garrett Muagututia,USA,119,49,108,276,43.12
28,5,Lazar Cirovic,SRB,100,41,99,240,41.67
29,2,Federico Pereyra,ARG,79,27,51,157,
30,3,Jan Martinez Franchi,ARG,38,12,35,85,
31,4,Maximiliano Cavanna,ARG,2,0,1,3,
32,5,Nicolas Uriarte,ARG,8,1,12,21,
33,6,Cristian Poglajen,ARG,59,23,60,142,
34,8,Agustin Loser,ARG,50,9,38,97,
35,11,Sebastian Solé,ARG,53,9,31,93,
36,13,Ezequiel Palacios,ARG,93,24,81,198,
37,14,Pablo Crer,ARG,34,7,22,63,
38,15,Luciano De Cecco,ARG,7,5,7,19,
39,17,Nicolas Mendez,ARG,18,8,24,50,
40,18,Martin Ramos,ARG,56,6,28,90,
41,1,Beau Graham,AUS,54,14,33,101,
42,2,Arshdeep Dosanjh,AUS,29,3,16,48,
43,7,Harrison Peacock,AUS,0,2,2,4,
44,8,Trent O'dea,AUS,47,10,37,94,
45,9,Max Staples,AUS,33,11,34,78,
46,10,Jordan Richards,AUS,60,27,35,122,
47,12,Nehemiah Mote,AUS,13,6,6,25,
48,13,Samuel Walker,AUS,75,38,78,191,
49,22,Curtis Jeffrey Arthur Stockton,AUS,60,38,36,134,
50,23,James Weir,AUS,27,12,14,53,
51,24,Elliott Viles,AUS,7,10,12,29,
52,1,Bruno Mossa Rezende,BRA,5,1,6,12,
53,2,Isac Santos,BRA,55,8,26,89,
54,3,Eder Carbonera,BRA,1,0,0,1,
55,5,Lucas Eduardo Loh,BRA,4,0,1,5,
56,6,Fernando Gil Kreling,BRA,2,0,4,6,
57,13,Mauricio Luiz De Souza,BRA,44,5,22,71,
58,14,Douglas Correia De Souza,BRA,106,29,69,204,
59,16,Lucas Saatkamp,BRA,82,12,38,132,
60,19,Mauricio Borges Almeida Silva,BRA,20,10,14,44,
61,21,Alan Souza,BRA,115,38,76,229,
62,23,Flavio Gualberto,BRA,73,9,29,111,
63,29,Rafael Araujo,BRA,0,1,0,1,
64,1,Georgi Bratoev,BUL,7,3,4,14,
65,2,Krasimir Georgiev,BUL,23,7,22,52,
66,4,Martin Atanasov,BUL,60,35,35,130,
67,5,Svetoslav Gotsev,BUL,51,12,38,101,
68,7,Nikolay Uchikov,BUL,84,28,71,183,
69,8,Todor Skrimov,BUL,65,16,43,124,
70,9,Georgi Seganov,BUL,10,2,9,21,
71,10,Valentin Bratoev,BUL,4,12,12,28,
72,11,Velizar Chernokozhev,BUL,11,7,16,34,
73,12,Viktor Yosifov,BUL,11,2,8,21,
74,14,Teodor Todorov,BUL,17,2,13,32,
75,17,Nikolay Penchev,BUL,41,19,42,102,
76,18,Nikolay Nikolov,BUL,7,1,7,15,
77,20,Aleks Grozdanov,BUL,36,4,12,52,
78,25,Radoslav Parapunov,BUL,3,1,1,5,
79,26,Plamen Shekerdzhiev,BUL,3,3,6,12,
80,30,Nikolay Kolev,BUL,1,0,0,1,
81,2,John Gordon Perrin,CAN,74,31,79,184,
82,4,Nicholas Hoag,CAN,113,40,65,218,
83,5,Deanan Gyimah,CAN,9,0,2,11,
84,6,Justin Duff,CAN,2,1,0,3,
85,9,Jason Derocco,CAN,37,13,40,90,
86,11,Daniel Jansen Vandoorn,CAN,8,1,3,12,
87,12,Lucas Van Berkel,CAN,26,7,20,53,
88,14,Eric Loeppky,CAN,6,3,10,19,
89,16,Ryan Joseph Sclater,CAN,98,41,82,221,
90,17,Graham Vigrass,CAN,67,6,39,112,
91,20,Arthur Szwarc,CAN,38,11,19,68,
92,21,Brett James Walsh,CAN,7,0,4,11,
93,3,Tianyi Mao,CHN,1,0,3,4,
94,8,Jingyi Wang,CHN,32,14,31,77,
95,9,Yaochen Yu,CHN,4,0,1,5,
96,10,Daoshuai Ji,CHN,32,9,21,62,
97,11,Haixiang Du,CHN,46,17,47,110,
98,12,Zhejia Zhang,CHN,29,7,21,57,
99,13,Longhai Chen,CHN,41,12,20,73,
100,17,Libin Liu,CHN,69,47,64,180,
101,19,Guojun Zhan,CHN,2,1,3,6,
102,20,Shuhan Rao,CHN,44,11,49,104,
103,21,Ruantong Miao,CHN,5,0,3,8,
104,23,Shikun Peng,CHN,10,3,3,16,
105,1,Jonas Aguenier,FRA,22,3,5,30,
106,5,Raphaël Corre,FRA,0,0,1,1,
107,6,Benjamin Toniutti,FRA,1,1,4,6,
108,7,Kevin Tillie,FRA,80,41,71,192,
109,8,Julien Lyneel,FRA,55,19,41,115,
110,9,Earvin Ngapeth,FRA,21,8,20,49,
111,10,Kevin Le Roux,FRA,27,4,19,50,
112,11,Antoine Brizard,FRA,11,2,12,25,
113,12,Stephen Boyer,FRA,101,50,87,238,
114,14,Nicolas Le Goff,FRA,53,6,27,86,
115,16,Daryl Bultor,FRA,32,6,12,50,
116,17,Trevor Clevenot,FRA,62,24,37,123,
117,18,Thibault Rossard,FRA,57,26,56,139,
118,19,Yacine Louati,FRA,44,22,48,114,
119,21,Barthélémy Chinenyeze,FRA,81,21,37,139,
120,23,Timothée Carle,FRA,42,20,19,81,
121,2,Tobias Krick,GER,38,7,15,60,
122,3,Ruben Schott,GER,92,51,94,237,
123,5,Moritz Reichert,GER,81,30,92,203,
124,7,David Sossenheimer,GER,33,17,34,84,
125,8,Marcus Böhme,GER,40,13,11,64,
126,11,Lukas Kampa,GER,4,0,1,5,
127,12,Anton Brehme,GER,84,19,52,155,
128,15,Noah Baxpöhler,GER,44,9,21,74,
129,16,Tomas Kocian-Falkenbach,GER,1,0,3,4,
130,17,Jan Zimmermann,GER,3,2,2,7,
131,18,Jakob Günthör,GER,3,1,7,11,
132,19,Daniel Malescha,GER,26,14,15,55,
133,20,Linus Weber,GER,23,11,27,61,
134,4,Mir Saeid Marouflakrani,IRI,18,4,28,50,
135,5,Farhad Ghaemi,IRI,23,7,29,59,
136,6,Seyed Mohammad Mousavi Eraghi,IRI,94,27,33,154,
137,9,Masoud Gholami,IRI,9,1,4,14,
138,14,Mohammadjavad Manavinezhad,IRI,35,12,29,76,
139,15,Aliasghar Mojarad,IRI,26,6,17,49,
140,16,Ali Shafiei,IRI,81,13,51,145,
141,20,Porya Yali,IRI,51,23,35,109,
142,21,Morteza Sharifi,IRI,1,1,1,3,
143,24,Javad Karimisouchelmaei,IRI,3,1,0,4,
144,1,Davide Candellaro,ITA,14,4,10,28,
145,2,Riccardo Sbertoli,ITA,3,1,5,9,
146,3,Luca Spirito,ITA,2,0,0,2,
147,6,Simone Giannelli,ITA,29,4,20,53,
148,7,Giacomo Raffaelli,ITA,8,4,5,17,
149,8,Daniele Mazzone,ITA,15,2,8,25,
150,12,Fabio Ricci,ITA,5,2,7,14,
151,14,Matteo Piano,ITA,19,3,10,32,
152,15,Roberto Russo,ITA,66,11,38,115,
153,17,Simone Anzani,ITA,29,3,12,44,
154,19,Daniele Lavia,ITA,98,38,89,225,
155,21,Alberto Polo,ITA,20,6,11,37,
156,22,Oreste Cavuto,ITA,75,29,82,186,
157,23,Andrea Argenta,ITA,10,4,5,19,
158,24,Giulio Pinali,ITA,98,37,77,212,
159,28,Francesco Recine,ITA,1,1,2,4,
160,1,Issei Otake,JPN,64,40,57,161,
161,2,Hideomi Fukatsu,JPN,0,0,1,1,
162,3,Naonobu Fujii,JPN,3,1,3,7,
163,5,Tatsuya Fukuzawa,JPN,91,21,78,190,
164,6,Akihiro Yamauchi,JPN,49,13,31,93,
165,8,Masahiro Yanagida,JPN,56,29,50,135,
166,12,Masahiro Sekita,JPN,5,2,6,13,
167,13,Naoya Takano,JPN,49,22,45,116,
168,15,Haku Ri,JPN,38,11,29,78,
169,17,Tsubasa Hisahara,JPN,10,3,14,27,
170,20,Taishi Onodera,JPN,65,11,48,124,
171,1,Piotr Nowakowski,POL,9,4,4,17,
172,2,Maciej Muzaj,POL,111,23,107,241,
173,3,Dawid Konarski,POL,73,21,49,143,
174,4,Marcin Komenda,POL,3,0,3,6,
175,5,Lukasz Kaczmarek,POL,91,39,67,197,
176,7,Artur Szalpuk,POL,38,15,30,83,
177,11,Fabian Drzyzga,POL,0,0,1,1,
178,13,Michal Kubiak,POL,12,11,17,40,
179,14,Aleksander Sliwka,POL,107,22,86,215,
180,15,Jakub Kochanowski,POL,56,15,38,109,
181,16,Bartlomiej Boladz,POL,20,8,15,43,
182,18,Bartosz Kwolek,POL,108,44,93,245,
183,19,Marcin Janusz,POL,2,1,0,3,
184,20,Mateusz Bieniek,POL,55,5,29,89,
185,21,Tomasz Fornal,POL,27,13,34,74,
186,22,Bartosz Bednorz,POL,117,39,95,251,
187,25,Michał Szalacha,POL,3,1,0,4,
188,27,Piotr Łukasik,POL,40,12,24,76,
189,28,Bartosz Filipiak,POL,8,3,9,20,
190,77,Karol Klos,POL,67,10,28,105,
191,99,Norbert Huber,POL,58,12,29,99,
192,1,Valdir Sequeira,POR,14,8,7,29,
193,3,Nuno Teixeira,POR,10,3,14,27,
194,4,Filip Cveticanin,POR,69,16,37,122,
195,8,Tiago Da Silva Violas,POR,4,0,5,9,
196,9,Joao Simoes,POR,28,13,36,77,
197,10,Phelipe Martins,POR,29,13,33,75,
198,11,Bruno Cunha,POR,47,23,38,108,
199,12,Lourenco Martins,POR,70,23,64,157,
200,13,Caique Oswaldo Ferreira Da Silva,POR,53,19,36,108,
201,15,Miguel Tavares Rodrigues,POR,12,1,7,20,
202,2,Ilia Vlasov,RUS,6,3,4,13,
203,3,Dmitry Kovalev,RUS,6,3,5,14,
204,4,Denis Zemchenok,RUS,71,18,58,147,
205,7,Dmitry Volkov,RUS,91,38,69,198,
206,8,Anton Semyshev,RUS,17,8,10,35,
207,9,Ivan Iakovlev,RUS,70,9,23,102,
208,10,Fedor Voronkov,RUS,64,31,43,138,
209,11,Igor Philippov,RUS,44,7,19,70,
210,14,Yaroslav Podlesnykh,RUS,69,31,34,134,
211,18,Egor Kliuka,RUS,111,41,82,234,
212,20,Ilyas Kurkaev,RUS,107,22,44,173,
213,24,Igor Kobzar,RUS,28,4,15,47,
214,28,Kirill Klets,RUS,5,1,4,10,
215,29,Kirill Ursov,RUS,6,0,7,13,
216,1,Aleksandar Okolic,SRB,57,7,28,92,
217,3,Milan Katic,SRB,39,17,43,99,
218,4,Nemanja Petric,SRB,22,5,21,48,
219,7,Petar Krsmanovic,SRB,73,8,32,113,
220,8,Marko Ivovic,SRB,19,5,15,39,
221,9,Nikola Jovovic,SRB,1,0,6,7,
222,10,Miran Kujundžić,SRB,73,18,54,145,
223,12,Dusan Petkovic,SRB,103,35,79,217,
224,13,Stevan Simic,SRB,38,8,13,59,
225,15,Nemanja Masulovic,SRB,6,0,3,9,
226,16,Drazen Luburic,SRB,74,26,44,144,
227,20,Srecko Lisinac,SRB,35,8,13,56,
228,21,Vuk Todorovic,SRB,2,0,6,8,
229,22,Andrija Vilimanovic,SRB,2,0,2,4,
230,23,Bozidar Vucicevic,SRB,94,50,50,194,
231,24,David Mehic,SRB,24,16,20,60,
232,27,Stefan Kovacevic,SRB,3,0,4,7,
233,28,Danilo Pavlovic,SRB,0,0,1,1,
234,1,Matthew Anderson,USA,68,25,40,133,
235,2,Aaron Russell,USA,17,8,15,40,
236,3,Taylor Sander,USA,122,30,70,222,
237,4,Jeffrey Jendryk Ii,USA,49,8,25,82,
238,5,Kyle Ensing,USA,35,12,36,83,
239,6,Mitchell Stahl,USA,25,6,23,54,
240,7,Kawika Shoji,USA,5,1,3,9,
241,8,Torey Defalco,USA,76,31,53,160,
242,9,Jake Langlois,USA,19,2,19,40,
243,11,Micah Christenson,USA,8,6,7,21,
244,12,Maxwell Holt,USA,42,12,32,86,
245,13,Benjamin Patch,USA,141,42,73,256,
246,14,Micah Ma'a,USA,27,11,24,62,
247,16,Joshua Tuaniga,USA,3,1,3,7,
248,17,Thomas Jaeschke,USA,26,10,18,54,
249,19,Taylor Averill,USA,18,4,7,29,
250,20,David Smith,USA,68,11,41,120,
251,25,Kyle Russell,USA,27,14,25,66,
252,30,George Huhmann,USA,20,4,7,31,
