Rank,Shirt Number,Name,Team,Aces,Faults,Hits,Total Attempts,Average Per Set
1,18,Egor Kliuka,RUS,28,37,107,172,0.41
2,11,Yuji Nishida,JPN,23,41,124,188,0.39
3,18,Ricardo Lucarelli Souza,BRA,23,33,175,231,0.3
4,2,Arshdeep Dosanjh,AUS,17,29,130,176,0.3
5,6,Simone Giannelli,ITA,16,21,110,147,0.29
6,13,Samuel Walker,AUS,16,25,88,129,0.28
7,6,Alexandre Ferreira,POR,13,59,87,159,0.25
8,23,Bozidar Vucicevic,SRB,16,26,57,99,0.25
9,9,Yoandy Leal Hidalgo,BRA,19,52,130,201,0.25
10,10,Sharone Vernon-Evans,CAN,14,32,64,110,0.24
11,15,Victor Poletaev,RUS,16,50,99,165,0.24
12,3,Ruben Schott,GER,15,44,103,162,0.23
13,20,Gabriele Nelli,ITA,13,28,67,108,0.23
14,7,Purya Fayazi D.,IRI,14,44,131,189,0.23
15,10,Amir Ghafour,IRI,14,51,137,202,0.23
16,18,Garrett Muagututia,USA,16,31,151,198,0.22
17,18,Lincoln Alexander Williams,AUS,12,53,60,125,0.21
18,17,Graham Vigrass,CAN,12,20,132,164,0.21
19,13,Simon Hirsch,GER,13,45,119,177,0.2
20,6,Seyed Mohammad Mousavi Eraghi,IRI,12,42,103,157,0.19
21,1,Beau Graham,AUS,11,26,115,152,0.19
22,15,Luke Smith,AUS,11,18,119,148,0.19
23,9,Ivan Iakovlev,RUS,13,36,119,168,0.19
24,9,Georgi Seganov,BUL,11,17,176,204,0.19
25,14,Yuki Ishikawa,JPN,11,39,116,166,0.19
26,20,Taishi Onodera,JPN,11,27,160,198,0.19
27,20,David Smith,USA,13,38,124,175,0.18
28,16,Ali Shafiei,IRI,11,18,193,222,0.18
29,18,Bartosz Kwolek,POL,14,28,129,171,0.18
30,7,Dmitry Volkov,RUS,12,27,113,152,0.18
31,10,Jordan Richards,AUS,10,18,35,63,0.18
32,15,Miguel Tavares Rodrigues,POR,9,20,99,128,0.17
33,7,Stephen Timothy Maar,CAN,10,18,87,115,0.17
34,21,Brett James Walsh,CAN,10,26,197,233,0.17
35,15,Roberto Russo,ITA,9,18,148,175,0.16
36,8,Julien Lyneel,FRA,10,19,73,102,0.16
37,20,Shuhan Rao,CHN,8,15,140,163,0.16
38,5,Nicolas Uriarte,ARG,9,8,96,113,0.15
39,13,Ezequiel Palacios,ARG,9,26,63,98,0.15
40,20,Mateusz Bieniek,POL,12,11,92,115,0.15
41,2,Milad Ebadipour Ghara H.,IRI,9,41,148,198,0.15
42,24,Giulio Pinali,ITA,8,25,86,119,0.14
43,1,Christian Fromm,GER,9,27,96,132,0.14
44,17,Jan Zimmermann,GER,9,30,141,180,0.14
45,3,Taylor Sander,USA,10,26,113,149,0.14
46,8,Torey Defalco,USA,10,27,65,102,0.14
47,17,Libin Liu,CHN,7,23,81,111,0.14
48,7,Facundo Conte,ARG,8,45,110,163,0.14
49,6,Rozalin Penchev,BUL,8,41,76,125,0.14
50,19,Tsvetan Sokolov,BUL,8,47,56,111,0.14
51,8,Masahiro Yanagida,JPN,8,21,61,90,0.14
52,12,Lourenco Martins,POR,7,19,64,90,0.13
53,21,Alan Souza,BRA,10,28,77,115,0.13
54,11,Antoine Brizard,FRA,8,30,106,144,0.13
55,12,Stephen Boyer,FRA,8,28,64,100,0.13
56,17,Trevor Clevenot,FRA,8,20,58,86,0.13
57,18,Thibault Rossard,FRA,8,31,55,94,0.13
58,7,David Sossenheimer,GER,8,22,42,72,0.13
59,15,Noah Baxpöhler,GER,8,20,110,138,0.13
60,16,Oleg Antonov,ITA,7,32,124,163,0.13
61,3,Milan Katic,SRB,8,18,66,92,0.13
62,5,Lazar Cirovic,SRB,8,49,108,165,0.13
63,12,Maxwell Holt,USA,9,25,80,114,0.13
64,1,Issei Otake,JPN,7,21,54,82,0.12
65,6,Akihiro Yamauchi,JPN,7,10,96,113,0.12
66,12,Masahiro Sekita,JPN,7,18,110,135,0.12
67,1,Qingyao Dai,CHN,6,23,78,107,0.12
68,2,Chuan Jiang,CHN,6,48,92,146,0.12
69,20,Ilyas Kurkaev,RUS,8,30,179,217,0.12
70,11,Bruno Cunha,POR,6,9,30,45,0.12
71,22,Bartosz Bednorz,POL,9,33,88,130,0.11
72,77,Karol Klos,POL,9,25,138,172,0.11
73,16,Daryl Bultor,FRA,7,16,39,62,0.11
74,14,Micah Ma'a,USA,8,31,78,117,0.11
75,8,Marko Ivovic,SRB,7,6,23,36,0.11
76,12,Dusan Petkovic,SRB,7,24,57,88,0.11
77,19,Daniele Lavia,ITA,6,19,95,120,0.11
78,4,Nicholas Hoag,CAN,6,32,95,133,0.1
79,16,Ryan Joseph Sclater,CAN,6,28,69,103,0.1
80,14,Yaroslav Podlesnykh,RUS,7,23,65,95,0.1
81,24,Igor Kobzar,RUS,7,37,159,203,0.1
82,12,Bruno Lima,ARG,6,27,128,161,0.1
83,5,Svetoslav Gotsev,BUL,6,14,122,142,0.1
84,8,Todor Skrimov,BUL,6,29,60,95,0.1
85,15,Haku Ri,JPN,6,13,108,127,0.1
86,19,Guojun Zhan,CHN,5,17,46,68,0.1
87,11,Micah Christenson,USA,7,31,92,130,0.1
88,4,Mir Saeid Marouflakrani,IRI,6,13,161,180,0.1
89,10,Kevin Le Roux,FRA,6,39,51,96,0.1
90,2,Isac Santos,BRA,7,34,87,128,0.09
91,2,Riccardo Sbertoli,ITA,5,19,54,78,0.09
92,21,Alberto Polo,ITA,5,13,62,80,0.09
93,15,Jakub Kochanowski,POL,7,30,91,128,0.09
94,4,Denis Zemchenok,RUS,6,19,70,95,0.09
95,8,Trent O'dea,AUS,5,6,114,125,0.09
96,23,James Weir,AUS,5,18,56,79,0.09
97,8,Agustin Loser,ARG,5,35,71,111,0.08
98,5,Farhad Ghaemi,IRI,5,13,56,74,0.08
99,8,Jingyi Wang,CHN,4,10,28,42,0.08
100,13,Longhai Chen,CHN,4,13,96,113,0.08
101,5,Moritz Reichert,GER,5,25,72,102,0.08
102,10,Miran Kujundžić,SRB,5,21,67,93,0.08
103,13,Mauricio Luiz De Souza,BRA,6,12,135,153,0.08
104,16,Lucas Saatkamp,BRA,6,25,135,166,0.08
105,23,Flavio Gualberto,BRA,6,12,131,149,0.08
106,1,Valdir Sequeira,POR,4,13,33,50,0.08
107,4,Filip Cveticanin,POR,4,20,127,151,0.08
108,7,Marco Evan Baptista Ferreira,POR,4,41,74,119,0.08
109,14,Aleksander Sliwka,POL,6,19,128,153,0.08
110,99,Norbert Huber,POL,6,17,112,135,0.08
111,10,Fedor Voronkov,RUS,5,22,64,91,0.07
112,9,Max Staples,AUS,4,10,43,57,0.07
113,24,Elliott Viles,AUS,4,7,28,39,0.07
114,1,Matthew Anderson,USA,5,22,55,82,0.07
115,7,Kawika Shoji,USA,5,7,30,42,0.07
116,17,Thomas Jaeschke,USA,5,11,27,43,0.07
117,3,Jan Martinez Franchi,ARG,4,14,25,43,0.07
118,6,Cristian Poglajen,ARG,4,21,76,101,0.07
119,4,Martin Atanasov,BUL,4,31,58,93,0.07
120,3,Naonobu Fujii,JPN,4,1,34,39,0.07
121,6,Fernando Gil Kreling,BRA,5,22,132,159,0.06
122,15,Aliasghar Mojarad,IRI,4,22,65,91,0.06
123,7,Kevin Tillie,FRA,4,9,101,114,0.06
124,8,Marcus Böhme,GER,4,22,34,60,0.06
125,16,Tomas Kocian-Falkenbach,GER,4,7,34,45,0.06
126,1,Aleksandar Okolic,SRB,4,6,111,121,0.06
127,7,Petar Krsmanovic,SRB,4,14,170,188,0.06
128,16,Drazen Luburic,SRB,4,17,43,64,0.06
129,21,Vuk Todorovic,SRB,4,10,87,101,0.06
130,24,David Mehic,SRB,4,12,25,41,0.06
131,10,Daoshuai Ji,CHN,3,6,34,43,0.06
132,12,Zhejia Zhang,CHN,3,11,39,53,0.06
133,3,Dmitry Kovalev,RUS,4,8,61,73,0.06
134,11,Igor Philippov,RUS,4,18,102,124,0.06
135,6,Mitchell Stahl,USA,4,15,60,79,0.06
136,22,Oreste Cavuto,ITA,3,24,76,103,0.05
137,2,Federico Pereyra,ARG,3,18,39,60,0.05
138,11,Sebastian Solé,ARG,3,9,132,144,0.05
139,7,Nikolay Uchikov,BUL,3,12,60,75,0.05
140,20,Aleks Grozdanov,BUL,3,13,53,69,0.05
141,2,Maciej Muzaj,POL,4,21,89,114,0.05
142,7,Artur Szalpuk,POL,4,3,54,61,0.05
143,11,Lukas Kampa,GER,3,6,17,26,0.05
144,20,Srecko Lisinac,SRB,3,10,43,56,0.05
145,3,Tianyi Mao,CHN,2,0,24,26,0.04
146,11,Haixiang Du,CHN,2,21,51,74,0.04
147,8,Wallace De Souza,BRA,3,25,152,180,0.04
148,3,Nuno Teixeira,POR,2,12,30,44,0.04
149,10,Phelipe Martins,POR,2,14,101,117,0.04
150,13,Caique Oswaldo Ferreira Da Silva,POR,2,6,62,70,0.04
151,3,Dawid Konarski,POL,3,17,44,64,0.04
152,5,Lukasz Kaczmarek,POL,3,18,88,109,0.04
153,13,Michal Kubiak,POL,3,5,20,28,0.04
154,19,Marcin Janusz,POL,3,4,61,68,0.04
155,21,Tomasz Fornal,POL,3,6,35,44,0.04
156,1,Davide Candellaro,ITA,2,6,50,58,0.04
157,22,Curtis Jeffrey Arthur Stockton,AUS,2,12,46,60,0.04
158,2,John Gordon Perrin,CAN,2,21,69,92,0.03
159,24,Adam Schriemer,CAN,2,0,9,11,0.03
160,15,Luciano De Cecco,ARG,2,13,72,87,0.03
161,17,Nicolas Mendez,ARG,2,10,25,37,0.03
162,1,Georgi Bratoev,BUL,2,7,52,61,0.03
163,12,Viktor Yosifov,BUL,2,3,28,33,0.03
164,5,Tatsuya Fukuzawa,JPN,2,17,57,76,0.03
165,14,Mohammadjavad Manavinezhad,IRI,2,17,24,43,0.03
166,21,Barthélémy Chinenyeze,FRA,2,14,132,148,0.03
167,20,Linus Weber,GER,2,7,10,19,0.03
168,9,Nikola Jovovic,SRB,2,2,58,62,0.03
169,2,Aaron Russell,USA,2,2,25,29,0.03
170,4,Jeffrey Jendryk Ii,USA,2,11,81,94,0.03
171,5,Kyle Ensing,USA,2,16,26,44,0.03
172,19,Taylor Averill,USA,2,7,22,31,0.03
173,30,George Huhmann,USA,2,14,24,40,0.03
174,1,Bruno Mossa Rezende,BRA,2,13,101,116,0.03
175,14,Douglas Correia De Souza,BRA,2,32,85,119,0.03
176,1,Piotr Nowakowski,POL,2,12,34,48,0.03
177,4,Marcin Komenda,POL,2,5,104,111,0.03
178,8,Tiago Da Silva Violas,POR,1,1,83,85,0.02
179,9,Joao Simoes,POR,1,5,49,55,0.02
180,8,Daniele Mazzone,ITA,1,4,27,32,0.02
181,12,Fabio Ricci,ITA,1,1,14,16,0.02
182,12,Nehemiah Mote,AUS,1,3,29,33,0.02
183,1,Tyler Sanders,CAN,1,2,16,19,0.02
184,5,Deanan Gyimah,CAN,1,8,14,23,0.02
185,9,Jason Derocco,CAN,1,11,62,74,0.02
186,20,Arthur Szwarc,CAN,1,30,56,87,0.02
187,14,Pablo Crer,ARG,1,9,73,83,0.02
188,2,Krasimir Georgiev,BUL,1,18,49,68,0.02
189,10,Valentin Bratoev,BUL,1,6,13,20,0.02
190,11,Velizar Chernokozhev,BUL,1,4,11,16,0.02
191,2,Hideomi Fukatsu,JPN,1,1,20,22,0.02
192,13,Naoya Takano,JPN,1,19,48,68,0.02
193,20,Porya Yali,IRI,1,6,48,55,0.02
194,24,Javad Karimisouchelmaei,IRI,1,7,8,16,0.02
195,14,Nicolas Le Goff,FRA,1,4,106,111,0.02
196,19,Yacine Louati,FRA,1,11,51,63,0.02
197,2,Tobias Krick,GER,1,7,51,59,0.02
198,12,Anton Brehme,GER,1,43,102,146,0.02
199,18,Jakob Günthör,GER,1,3,15,19,0.02
200,4,Nemanja Petric,SRB,1,7,17,25,0.02
201,11,Aleksa Batak,SRB,1,4,15,20,0.02
202,13,Stevan Simic,SRB,1,8,87,96,0.02
203,8,Anton Semyshev,RUS,1,6,17,24,0.01
204,13,Benjamin Patch,USA,1,15,86,102,0.01
205,16,Joshua Tuaniga,USA,1,11,33,45,0.01
206,25,Kyle Russell,USA,1,13,21,35,0.01
207,3,Eder Carbonera,BRA,1,0,2,3,0.01
208,12,Grzegorz Lomacz,POL,1,7,52,60,0.01
209,4,Maximiliano Cavanna,ARG,0,2,42,44,
210,18,Martin Ramos,ARG,0,10,104,114,
211,7,Harrison Peacock,AUS,0,3,32,35,
212,25,Jordan Colotti,AUS,0,0,2,2,
213,5,Lucas Eduardo Loh,BRA,0,0,6,6,
214,19,Mauricio Borges Almeida Silva,BRA,0,4,28,32,
215,20,Thiago Pontes Veloso,BRA,0,2,7,9,
216,14,Teodor Todorov,BUL,0,5,48,53,
217,17,Nikolay Penchev,BUL,0,19,44,63,
218,18,Nikolay Nikolov,BUL,0,5,18,23,
219,22,Vladimir Stankov,BUL,0,0,3,3,
220,25,Radoslav Parapunov,BUL,0,2,1,3,
221,26,Plamen Shekerdzhiev,BUL,0,5,13,18,
222,30,Nikolay Kolev,BUL,0,0,2,2,
223,6,Justin Duff,CAN,0,1,4,5,
224,11,Daniel Jansen Vandoorn,CAN,0,4,19,23,
225,12,Lucas Van Berkel,CAN,0,4,103,107,
226,14,Eric Loeppky,CAN,0,1,12,13,
227,9,Yaochen Yu,CHN,0,7,80,87,
228,21,Ruantong Miao,CHN,0,5,5,10,
229,23,Shikun Peng,CHN,0,3,16,19,
230,1,Jonas Aguenier,FRA,0,3,54,57,
231,4,Jean Patry,FRA,0,27,99,126,
232,5,Raphaël Corre,FRA,0,6,32,38,
233,6,Benjamin Toniutti,FRA,0,3,73,76,
234,9,Earvin Ngapeth,FRA,0,8,13,21,
235,23,Timothée Carle,FRA,0,14,22,36,
236,19,Daniel Malescha,GER,0,7,14,21,
237,25,Lukas Maase,GER,0,0,2,2,
238,9,Masoud Gholami,IRI,0,3,22,25,
239,21,Morteza Sharifi,IRI,0,1,0,1,
240,3,Luca Spirito,ITA,0,1,6,7,
241,7,Giacomo Raffaelli,ITA,0,0,9,9,
242,14,Matteo Piano,ITA,0,1,46,47,
243,17,Simone Anzani,ITA,0,4,42,46,
244,23,Andrea Argenta,ITA,0,3,4,7,
245,28,Francesco Recine,ITA,0,1,1,2,
246,17,Tsubasa Hisahara,JPN,0,0,15,15,
247,11,Fabian Drzyzga,POL,0,7,32,39,
248,16,Bartlomiej Boladz,POL,0,5,12,17,
249,25,Michał Szalacha,POL,0,0,9,9,
250,27,Piotr Łukasik,POL,0,5,31,36,
251,28,Bartosz Filipiak,POL,0,1,9,10,
252,2,Ilia Vlasov,RUS,0,2,8,10,
253,28,Kirill Klets,RUS,0,2,3,5,
254,29,Kirill Ursov,RUS,0,2,4,6,
255,15,Nemanja Masulovic,SRB,0,2,12,14,
256,22,Andrija Vilimanovic,SRB,0,7,15,22,
257,27,Stefan Kovacevic,SRB,0,1,11,12,
258,28,Danilo Pavlovic,SRB,0,1,2,3,
259,9,Jake Langlois,USA,0,6,18,24,
